flight_number,Date,BoosterVersion,PayloadMass,Outcome,Flights,class,GridFins,Reused,Legs,Orbit_ES-L1,Orbit_GEO,Orbit_GTO,Orbit_HCO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_TLI,Orbit_Unknown,Orbit_VLEO,LaunchSiteName_CCSFS SLC 40 (Florida),LaunchSiteName_KSC LC 39A (Florida),LaunchSiteName_Kwajalein Atoll (Marshall Islands),LaunchSiteName_VAFB SLC 4E (California)
1,2006-03-24 22:30:00+00:00,FalconSat,20.0,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2,2007-03-21 01:10:00+00:00,DemoSat,7842.388855421687,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,2008-08-03 03:34:00+00:00,Trailblazer,7842.388855421687,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
4,2008-09-28 23:15:00+00:00,RatSat,165.0,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
5,2009-07-13 03:35:00+00:00,RazakSat,200.0,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
6,2010-06-04 18:45:00+00:00,Falcon 9 Test Flight,7842.388855421687,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
7,2010-12-08 15:43:00+00:00,COTS 1,7842.388855421687,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
8,2012-05-22 07:44:00+00:00,COTS 2,525.0,False,1.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
9,2012-10-08 00:35:00+00:00,CRS-1,400.0,False,1.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
10,2013-03-01 19:10:00+00:00,CRS-2,677.0,False,1.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
11,2013-09-29 16:00:00+00:00,CASSIOPE,500.0,False,1.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
12,2013-12-03 22:41:00+00:00,SES-8,3170.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,2014-01-06 18:06:00+00:00,Thaicom 6,3325.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,2014-04-18 19:25:00+00:00,CRS-3,2296.0,True,1.0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
15,2014-07-14 15:15:00+00:00,OG-2 Mission 1,1316.0,True,1.0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
16,2014-08-05 08:00:00+00:00,AsiaSat 8,4535.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,2014-09-07 05:00:00+00:00,AsiaSat 6,4428.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,2014-09-21 05:52:00+00:00,CRS-4,2216.0,False,1.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
19,2015-01-10 09:47:00+00:00,CRS-5,2395.0,False,1.0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
20,2015-02-11 23:03:00+00:00,DSCOVR,570.0,True,1.0,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21,2015-03-02 03:50:00+00:00,ABS-3A / Eutelsat 115W B,1954.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,2015-04-14 20:10:00+00:00,CRS-6,1898.0,False,1.0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23,2015-04-27 23:03:00+00:00,TürkmenÄlem 52°E / MonacoSAT,4707.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,2015-06-28 14:21:00+00:00,CRS-7,2477.0,False,1.0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,2015-12-22 01:29:00+00:00,OG-2 Mission 2,2034.0,True,1.0,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
26,2016-01-17 15:42:00+00:00,Jason 3,553.0,False,1.0,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
27,2016-03-04 23:35:00+00:00,SES-9,5271.0,False,1.0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28,2016-04-08 20:43:00+00:00,CRS-8,3136.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
29,2016-05-06 05:21:00+00:00,JCSAT-2B,4696.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30,2016-05-27 21:39:00+00:00,Thaicom 8,3100.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,2016-06-15 14:29:00+00:00,ABS-2A / Eutelsat 117W B,1800.0,False,1.0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
32,2016-07-18 04:45:00+00:00,CRS-9,2257.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
33,2016-08-14 05:26:00+00:00,JCSAT-16,4600.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,2016-09-01 13:07:00+00:00,Amos-6,5500.0,False,1.0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,2017-01-14 17:54:00+00:00,Iridium NEXT Mission 1,9600.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
36,2017-02-19 14:39:00+00:00,CRS-10,2490.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
37,2017-03-16 06:00:00+00:00,EchoStar 23,5600.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
38,2017-03-30 22:27:00+00:00,SES-10,5300.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,2017-05-01 11:15:00+00:00,NROL-76,7842.388855421687,True,1.0,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
40,2017-05-15 23:21:00+00:00,Inmarsat-5 F4,6070.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
41,2017-06-03 21:07:00+00:00,CRS-11,2708.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
42,2017-06-23 19:10:00+00:00,BulgariaSat-1,3669.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
43,2017-06-25 20:25:00+00:00,Iridium NEXT Mission 2,9600.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
44,2017-07-05 23:35:00+00:00,Intelsat 35e,6761.0,False,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
45,2017-08-14 16:31:00+00:00,CRS-12,2910.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
46,2017-08-24 18:50:00+00:00,FormoSat-5,475.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
47,2017-09-07 13:50:00+00:00,Boeing X-37B OTV-5,4990.0,True,1.0,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
48,2017-10-09 12:37:00+00:00,Iridium NEXT Mission 3,9600.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
49,2017-10-11 22:53:00+00:00,SES-11 / Echostar 105,5200.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,2017-10-30 19:34:00+00:00,KoreaSat 5A,3700.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
51,2017-12-15 15:36:00+00:00,CRS-13,2205.0,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
52,2017-12-23 01:27:23+00:00,Iridium NEXT Mission 4,9600.0,True,2.0,1,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
53,2018-01-08 01:00:00+00:00,ZUMA,7842.388855421687,True,1.0,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
54,2018-01-31 21:25:00+00:00,SES-16 / GovSat-1,4230.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55,2018-02-06 20:45:00+00:00,Falcon Heavy Test Flight,1350.0,False,1.0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56,2018-02-22 14:17:00+00:00,Paz / Starlink Demo,1350.0,False,2.0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
57,2018-03-06 05:33:00+00:00,Hispasat 30W-6,6092.0,False,1.0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
58,2018-03-30 14:13:51+00:00,Iridium NEXT Mission 5,9600.0,False,2.0,0,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
59,2018-04-02 20:30:41+00:00,CRS-14,2760.0,False,2.0,0,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
60,2018-04-18 22:51:00+00:00,TESS,350.0,True,1.0,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
61,2018-05-11 20:14:00+00:00,Bangabandhu-1,3750.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
62,2018-05-22 19:47:58+00:00,Iridium NEXT Mission 6,4300.0,False,2.0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
63,2018-06-04 04:45:00+00:00,SES-12,5383.85,False,2.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,2018-06-29 09:42:00+00:00,CRS-15,2410.0,False,2.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
65,2018-07-22 05:50:00+00:00,Telstar 19V,7076.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
66,2018-07-25 11:39:26+00:00,Iridium NEXT Mission 7,9600.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
67,2018-08-07 05:18:00+00:00,Merah Putih,5800.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
68,2018-09-10 04:45:00+00:00,Telstar 18V,7060.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,2018-10-08 02:22:00+00:00,SAOCOM 1A,2800.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
70,2018-11-15 20:46:00+00:00,Es’hail 2,3000.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
71,2018-12-03 18:34:00+00:00,SSO-A,4000.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
72,2018-12-05 18:16:00+00:00,CRS-16,2573.0,False,1.0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
73,2018-12-23 13:51:00+00:00,GPS III SV01,4400.0,False,1.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
74,2019-01-11 15:31:00+00:00,Iridium NEXT Mission 8,9600.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
75,2019-02-22 01:45:00+00:00,Nusantara Satu (PSN-6) / S5 / Beresheet,5000.0,True,3.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
76,2019-03-02 07:45:00+00:00,CCtCap Demo Mission 1,12259.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
77,2019-04-11 22:35:00+00:00,ArabSat 6A,6000.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
78,2019-05-04 06:48:00+00:00,CRS-17,2482.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
79,2019-05-24 02:30:00+00:00,Starlink v0.9,13200.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
80,2019-06-12 14:17:00+00:00,RADARSAT Constellation,1425.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
81,2019-06-25 03:30:00+00:00,STP-2,600.0,False,1.0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
82,2019-07-25 22:01:00+00:00,CRS-18,2227.7,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
83,2019-08-06 22:52:00+00:00,Amos-17,6500.0,False,3.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
84,2019-11-11 14:56:00+00:00,Starlink-1,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
85,2019-12-05 17:29:23+00:00,CRS-19,5000.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
86,2019-12-17 00:10:00+00:00,JCSat 18 / Kacific 1,6800.0,True,3.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
87,2020-01-07 02:19:00+00:00,Starlink-2,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
88,2020-01-19 14:00:00+00:00,Crew Dragon In Flight Abort Test,7842.388855421687,False,4.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
89,2020-01-29 14:06:00+00:00,Starlink-3,15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
90,2020-02-17 15:05:55+00:00,Starlink-4,15600.0,False,4.0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
91,2020-03-07 04:50:31+00:00,CRS-20,1977.0,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
92,2020-03-18 12:16:00+00:00,Starlink-5,15600.0,False,5.0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
93,2020-04-22 19:30:00+00:00,Starlink-6,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
94,2020-05-30 19:22:00+00:00,CCtCap Demo Mission 2,9525.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
95,2020-06-04 01:25:00+00:00,Starlink-7,15600.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
96,2020-06-13 09:21:00+00:00,Starlink-8 & SkySat 16-18,15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
97,2020-06-30 19:55:00+00:00,GPS III SV03 (Columbus),3880.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
98,2020-07-20 21:30:00+00:00,ANASIS-II,7842.388855421687,True,2.0,1,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
99,2020-08-07 05:12:00+00:00,Starlink-9 (v1.0) & BlackSky Global 5-6,15600.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
100,2020-08-18 14:31:00+00:00,Starlink-10 (v1.0) & SkySat 19-21,15600.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
101,2020-08-30 23:18:00+00:00,"SAOCOM 1B, GNOMES-1, Tyvak-0172",1600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
102,2020-09-03 12:46:00+00:00,Starlink-11 (v1.0),15600.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
103,2020-10-06 11:29:00+00:00,Starlink-12 (v1.0),15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
